Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
624000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
639000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
658000,0000012F,false,Rx,0,8,52,13,2F,0E,09,07,03,CF,
691000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
692000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
708000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
718000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
722000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
729000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
738000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
768000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
779000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
780000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
788000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
821000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
823000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
824000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
839000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
881000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
892000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
909000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
918000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
921000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
928000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
939000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
969000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
979000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
980000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
981000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
21000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
22000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
24000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
38000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
71000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
91000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
99000,0000012F,false,Rx,0,8,52,13,2F,0E,09,07,03,CF,
109000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
119000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
122000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
128000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
139000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
169000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
170000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
179000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
180000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
222000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
223000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
224000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
239000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
258000,00000197,false,Rx,0,8,0F,2F,44,00,00,00,00,00,
263000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
291000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
308000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
318000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
321000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
328000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
338000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
359000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
368000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
379000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
380000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
421000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
423000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
424000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
439000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
451000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
492000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
509000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
519000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
521000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
529000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
538000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
548000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
568000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
579000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
580000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
581000,0000012F,false,Rx,0,8,52,13,2F,0F,09,07,03,CF,
